RR_Location,RR_Latitude,RR_Longitude,Station_ID,Station_Name,Station_Address,Station_City,Station_State,Station_Zip,Station_Latitude,Station_Longitude,Distance,Unleaded_Regular_Price,Unleaded_Plus_Price,Unleaded_Premium_Price,Diesel_Regular_Price,Brand,Phone,Excellent_Price,Current_Price,Transaction_Time,Transaction_Time_Ms,API_Updated,API_Updated_Time,API_Station_ID
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,"ROAD RANGER 118|3752 Camp Butler Rd., Springfield, IL 62707|Springfield","ROAD RANGER 118|3752 Camp Butler Rd., Springfield, IL 62707|Springfield","3752 Camp Butler Rd., Springfield, IL 62707",Springfield,IL,,39.8304811,-89.5842419,0.0,4.199,4.899,5.249,5.599,ROAD RANGER,,False,False,,,Yes,2026-04-16T16:42:05.902063+00:00,
"Road Ranger #132 - Champaign, IL",40.17769,-88.240499,"ROAD RANGER 132|4910 Market St., Champaign, IL 61821|Champaign","ROAD RANGER 132|4910 Market St., Champaign, IL 61821|Champaign","4910 Market St., Champaign, IL 61821",Champaign,IL,,40.17769,-88.240499,0.0,4.199,4.799,5.299,5.399,ROAD RANGER,,False,False,,,Yes,2026-04-16T16:42:05.902093+00:00,
"Road Ranger #136 - Cottage Grove, WI",42.9985528,-89.1996224,"ROAD RANGER 136|2762 County Hwy. N., Cottage Grove, WI 53527|Cottage Grove","ROAD RANGER 136|2762 County Hwy. N., Cottage Grove, WI 53527|Cottage Grove","2762 County Hwy. N., Cottage Grove, WI 53527",Cottage Grove,WI,,42.9985528,-89.1996224,0.0,3.899,4.599,5.099,5.289,ROAD RANGER,,False,False,,,Yes,2026-04-16T16:42:05.902108+00:00,
"Road Ranger #139 - Tuscola, IL",39.7919732,-88.2683213,"ROAD RANGER 139|1112 East Southline Road, Tuscola, IL 61953|Tuscola","ROAD RANGER 139|1112 East Southline Road, Tuscola, IL 61953|Tuscola","1112 East Southline Road, Tuscola, IL 61953",Tuscola,IL,,39.7919732,-88.2683213,0.0,4.199,4.699,5.149,5.479,ROAD RANGER,,False,False,,,Yes,2026-04-16T16:42:05.902116+00:00,
"Road Ranger #140 - Mendota, IL",41.5538796,-89.066747,"ROAD RANGER 140|2705 East 12th St., Mendota, IL 61342|Mendota","ROAD RANGER 140|2705 East 12th St., Mendota, IL 61342|Mendota","2705 East 12th St., Mendota, IL 61342",Mendota,IL,,41.5538796,-89.066747,0.0,4.199,4.699,5.149,5.439,ROAD RANGER,,False,False,,,Yes,2026-04-16T16:42:05.902125+00:00,
"Road Ranger #141 - Brazil, IN",39.523652,-87.1250154,"ROAD RANGER 141|990 W. SR 42, Brazil, IN 47834|Brazil","ROAD RANGER 141|990 W. SR 42, Brazil, IN 47834|Brazil","990 W. SR 42, Brazil, IN 47834",Brazil,IN,,39.523652,-87.1250154,0.0,3.889,4.339,4.839,5.349,ROAD RANGER,,False,False,,,Yes,2026-04-16T16:42:05.902134+00:00,
"Road Ranger #144 - Elk Run Heights, IA",42.4612404,-92.2473477,"ROAD RANGER 144|100 Plaza Drive, Elk Run Heights, IA 50707|Elk Run Heights","ROAD RANGER 144|100 Plaza Drive, Elk Run Heights, IA 50707|Elk Run Heights","100 Plaza Drive, Elk Run Heights, IA 50707",Elk Run Heights,IA,,42.4612404,-92.2473477,0.0,3.399,,4.349,5.159,ROAD RANGER,,False,False,,,Yes,2026-04-16T16:42:05.902144+00:00,
"Road Ranger #145 - Fenton, MO",38.543606,-90.4399195,"ROAD RANGER 145|205 North Highway Drive, Fenton, MO 63026|Fenton","ROAD RANGER 145|205 North Highway Drive, Fenton, MO 63026|Fenton","205 North Highway Drive, Fenton, MO 63026",Fenton,MO,,38.543606,-90.4399195,0.0,3.849,4.249,4.749,5.199,ROAD RANGER,,False,False,,,Yes,2026-04-16T16:42:05.902152+00:00,
"Road Ranger #153 - Rochelle, IL",41.934296897400245,-89.0678872802297,"ROAD RANGER 153|1101 N 7th St., Rochelle, IL 61068|Rochelle","ROAD RANGER 153|1101 N 7th St., Rochelle, IL 61068|Rochelle","1101 N 7th St., Rochelle, IL 61068",Rochelle,IL,,41.934296897400245,-89.0678872802297,0.0,4.199,4.699,5.149,,ROAD RANGER,,False,False,,,Yes,2026-04-16T16:42:05.902162+00:00,
"Road Ranger #157 - Okawville, IL",38.4364187,-89.5347246,"ROAD RANGER 157|905 Hen House Road, Okawville, IL 62271|Okawville","ROAD RANGER 157|905 Hen House Road, Okawville, IL 62271|Okawville","905 Hen House Road, Okawville, IL 62271",Okawville,IL,,38.4364187,-89.5347246,0.0,4.249,4.949,5.199,5.739,ROAD RANGER,,False,False,,,Yes,2026-04-16T16:42:05.902170+00:00,
