RR_Location,RR_Latitude,RR_Longitude,Station_ID,Station_Name,Station_Address,Station_City,Station_State,Station_Zip,Station_Latitude,Station_Longitude,Distance,Unleaded_Regular_Price,Unleaded_Plus_Price,Unleaded_Premium_Price,Diesel_Regular_Price,Brand,Phone,Excellent_Price,Current_Price,Transaction_Time,Transaction_Time_Ms,API_Updated,API_Updated_Time,API_Station_ID
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,"ROAD RANGER 118|3752 Camp Butler Rd., Springfield, IL 62707|Springfield","ROAD RANGER 118|3752 Camp Butler Rd., Springfield, IL 62707|Springfield","3752 Camp Butler Rd., Springfield, IL 62707",Springfield,IL,,39.8304811,-89.5842419,0.0,4.179,4.879,5.229,5.399,ROAD RANGER,,False,False,,,Yes,2026-04-18T04:36:41.671173+00:00,
"Road Ranger #132 - Champaign, IL",40.17769,-88.240499,"ROAD RANGER 132|4910 Market St., Champaign, IL 61821|Champaign","ROAD RANGER 132|4910 Market St., Champaign, IL 61821|Champaign","4910 Market St., Champaign, IL 61821",Champaign,IL,,40.17769,-88.240499,0.0,4.129,4.729,5.229,5.249,ROAD RANGER,,False,False,,,Yes,2026-04-18T04:36:41.671201+00:00,
"Road Ranger #136 - Cottage Grove, WI",42.9985528,-89.1996224,"ROAD RANGER 136|2762 County Hwy. N., Cottage Grove, WI 53527|Cottage Grove","ROAD RANGER 136|2762 County Hwy. N., Cottage Grove, WI 53527|Cottage Grove","2762 County Hwy. N., Cottage Grove, WI 53527",Cottage Grove,WI,,42.9985528,-89.1996224,0.0,3.899,4.599,5.099,4.899,ROAD RANGER,,False,False,,,Yes,2026-04-18T04:36:41.671219+00:00,
"Road Ranger #139 - Tuscola, IL",39.7919732,-88.2683213,"ROAD RANGER 139|1112 East Southline Road, Tuscola, IL 61953|Tuscola","ROAD RANGER 139|1112 East Southline Road, Tuscola, IL 61953|Tuscola","1112 East Southline Road, Tuscola, IL 61953",Tuscola,IL,,39.7919732,-88.2683213,0.0,4.199,4.699,5.149,5.439,ROAD RANGER,,False,False,,,Yes,2026-04-18T04:36:41.671230+00:00,
"Road Ranger #140 - Mendota, IL",41.5538796,-89.066747,"ROAD RANGER 140|2705 East 12th St., Mendota, IL 61342|Mendota","ROAD RANGER 140|2705 East 12th St., Mendota, IL 61342|Mendota","2705 East 12th St., Mendota, IL 61342",Mendota,IL,,41.5538796,-89.066747,0.0,4.199,4.699,5.149,5.339,ROAD RANGER,,False,False,,,Yes,2026-04-18T04:36:41.671241+00:00,
"Road Ranger #141 - Brazil, IN",39.523652,-87.1250154,"ROAD RANGER 141|990 W. SR 42, Brazil, IN 47834|Brazil","ROAD RANGER 141|990 W. SR 42, Brazil, IN 47834|Brazil","990 W. SR 42, Brazil, IN 47834",Brazil,IN,,39.523652,-87.1250154,0.0,3.879,4.329,4.829,5.299,ROAD RANGER,,False,False,,,Yes,2026-04-18T04:36:41.671252+00:00,
"Road Ranger #144 - Elk Run Heights, IA",42.4612404,-92.2473477,"ROAD RANGER 144|100 Plaza Drive, Elk Run Heights, IA 50707|Elk Run Heights","ROAD RANGER 144|100 Plaza Drive, Elk Run Heights, IA 50707|Elk Run Heights","100 Plaza Drive, Elk Run Heights, IA 50707",Elk Run Heights,IA,,42.4612404,-92.2473477,0.0,3.399,,4.349,5.149,ROAD RANGER,,False,False,,,Yes,2026-04-18T04:36:41.671265+00:00,
"Road Ranger #145 - Fenton, MO",38.543606,-90.4399195,"ROAD RANGER 145|205 North Highway Drive, Fenton, MO 63026|Fenton","ROAD RANGER 145|205 North Highway Drive, Fenton, MO 63026|Fenton","205 North Highway Drive, Fenton, MO 63026",Fenton,MO,,38.543606,-90.4399195,0.0,3.849,4.249,4.749,5.099,ROAD RANGER,,False,False,,,Yes,2026-04-18T04:36:41.671275+00:00,
"Road Ranger #153 - Rochelle, IL",41.934296897400245,-89.0678872802297,"ROAD RANGER 153|1101 N 7th St., Rochelle, IL 61068|Rochelle","ROAD RANGER 153|1101 N 7th St., Rochelle, IL 61068|Rochelle","1101 N 7th St., Rochelle, IL 61068",Rochelle,IL,,41.934296897400245,-89.0678872802297,0.0,3.989,4.489,4.939,,ROAD RANGER,,False,False,,,Yes,2026-04-18T04:36:41.671289+00:00,
"Road Ranger #157 - Okawville, IL",38.4364187,-89.5347246,"ROAD RANGER 157|905 Hen House Road, Okawville, IL 62271|Okawville","ROAD RANGER 157|905 Hen House Road, Okawville, IL 62271|Okawville","905 Hen House Road, Okawville, IL 62271",Okawville,IL,,38.4364187,-89.5347246,0.0,4.249,4.949,5.199,5.639,ROAD RANGER,,False,False,,,Yes,2026-04-18T04:36:41.671299+00:00,
"Road Ranger #181 - Springfield, IL",39.7128674,-89.648992,"ROAD RANGER 181|500 Toronto Road, Springfield, IL 62711|Springfield","ROAD RANGER 181|500 Toronto Road, Springfield, IL 62711|Springfield","500 Toronto Road, Springfield, IL 62711",Springfield,IL,,39.7128674,-89.648992,0.0,4.279,4.779,5.229,5.599,ROAD RANGER,,False,False,,,Yes,2026-04-18T04:36:41.671308+00:00,
"Road Ranger #185 - McLean, IL",40.3179987,-89.1690822,"ROAD RANGER 185|315 Dixie Rd. Suite A, McLean, IL 61754|McLean","ROAD RANGER 185|315 Dixie Rd. Suite A, McLean, IL 61754|McLean","315 Dixie Rd. Suite A, McLean, IL 61754",McLean,IL,,40.3179987,-89.1690822,0.0,4.019,4.519,5.019,5.479,ROAD RANGER,,False,False,,,Yes,2026-04-18T04:36:41.671317+00:00,
"Road Ranger #186 - Minonk, IL",40.9134707,-89.0534671,"ROAD RANGER 186|1311 Carolyn Dr., Minonk, IL 61760|Minonk","ROAD RANGER 186|1311 Carolyn Dr., Minonk, IL 61760|Minonk","1311 Carolyn Dr., Minonk, IL 61760",Minonk,IL,,40.9134707,-89.0534671,0.0,4.159,4.659,5.109,5.439,ROAD RANGER,,False,False,,,Yes,2026-04-18T04:36:41.671328+00:00,
"Road Ranger #187 - Chicago, IL",41.831278,-87.6946279,"ROAD RANGER 187|3401 S California Ave, Chicago, IL 60608|Chicago","ROAD RANGER 187|3401 S California Ave, Chicago, IL 60608|Chicago","3401 S California Ave, Chicago, IL 60608",Chicago,IL,,41.831278,-87.6946279,0.0,4.349,4.749,5.149,5.299,ROAD RANGER,,False,False,,,Yes,2026-04-18T04:36:41.671345+00:00,
"Road Ranger #203 - Rockford, IL",42.2085811,-89.1076044,"ROAD RANGER 203|4980 S. Main St., Rockford, IL 61102|Rockford","ROAD RANGER 203|4980 S. Main St., Rockford, IL 61102|Rockford","4980 S. Main St., Rockford, IL 61102",Rockford,IL,,42.2085811,-89.1076044,0.0,4.149,4.649,5.099,5.139,ROAD RANGER,,False,False,,,Yes,2026-04-18T04:36:41.671358+00:00,
"Road Ranger #205 - South Beloit, IL",42.4909647,-88.9992534,"ROAD RANGER 205|6070 Gardner St., South Beloit, IL 61080|South Beloit","ROAD RANGER 205|6070 Gardner St., South Beloit, IL 61080|South Beloit","6070 Gardner St., South Beloit, IL 61080",South Beloit,IL,,42.4909647,-88.9992534,0.0,4.099,4.699,5.199,5.649,ROAD RANGER,,False,False,,,Yes,2026-04-18T04:36:41.671371+00:00,
"Road Ranger #206 - Winnebago, IL",42.2802763,-89.2422629,"ROAD RANGER 206|902 N. Elida St., Winnebago, IL 61088|Winnebago","ROAD RANGER 206|902 N. Elida St., Winnebago, IL 61088|Winnebago","902 N. Elida St., Winnebago, IL 61088",Winnebago,IL,,42.2802763,-89.2422629,0.0,4.299,4.799,5.249,5.249,ROAD RANGER,,False,False,,,Yes,2026-04-18T04:36:41.671385+00:00,
"Road Ranger #209 - Oakdale, WI",43.9636232,-90.3757182,"ROAD RANGER 209|102 E.Woody St., Oakdale, WI 54660|Oakdale","ROAD RANGER 209|102 E.Woody St., Oakdale, WI 54660|Oakdale","102 E.Woody St., Oakdale, WI 54660",Oakdale,WI,,43.9636232,-90.3757182,0.0,3.899,4.349,4.899,4.919,ROAD RANGER,,False,False,,,Yes,2026-04-18T04:36:41.671399+00:00,
"Road Ranger #210 - Rochelle, IL",41.9338987,-89.0349575,"ROAD RANGER 210|890 E. IL Route 38, Rochelle, IL 61068|Rochelle","ROAD RANGER 210|890 E. IL Route 38, Rochelle, IL 61068|Rochelle","890 E. IL Route 38, Rochelle, IL 61068",Rochelle,IL,,41.9338987,-89.0349575,0.0,3.999,4.699,5.099,5.439,ROAD RANGER,,False,False,,,Yes,2026-04-18T04:36:41.671411+00:00,
"Road Ranger #211 - Loves Park, IL",42.3195639,-88.9693605,"ROAD RANGER 211|7500 E. Riverside Blvd., Loves Park, IL 61111|Loves Park","ROAD RANGER 211|7500 E. Riverside Blvd., Loves Park, IL 61111|Loves Park","7500 E. Riverside Blvd., Loves Park, IL 61111",Loves Park,IL,,42.3195639,-88.9693605,0.0,4.179,4.729,5.279,5.199,ROAD RANGER,,False,False,,,Yes,2026-04-18T04:36:41.671425+00:00,
"Road Ranger #225 - Princeton, IL",41.4031053,-89.4689005,"ROAD RANGER 225|2835 North Main St., Princeton, IL 61356|Princeton","ROAD RANGER 225|2835 North Main St., Princeton, IL 61356|Princeton","2835 North Main St., Princeton, IL 61356",Princeton,IL,,41.4031053,-89.4689005,0.0,4.179,4.599,5.099,5.299,ROAD RANGER,,False,False,,,Yes,2026-04-18T04:36:41.671436+00:00,
