RR_Location,RR_Latitude,RR_Longitude,Station_ID,Station_Name,Station_Address,Station_City,Station_State,Station_Zip,Station_Latitude,Station_Longitude,Distance,Unleaded_Regular_Price,Unleaded_Plus_Price,Unleaded_Premium_Price,Diesel_Regular_Price,Brand,Phone,Excellent_Price,Current_Price,Transaction_Time,Transaction_Time_Ms,API_Updated,API_Updated_Time
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,"ROAD RANGER 118|3752 Camp Butler Rd., Springfield, IL 62707|Springfield","ROAD RANGER 118|3752 Camp Butler Rd., Springfield, IL 62707|Springfield","3752 Camp Butler Rd., Springfield, IL 62707",Springfield,IL,,39.8304811,-89.5842419,0.0,,,,,ROAD RANGER,,False,False,,,Yes,2026-02-13T11:13:53.617760
"Road Ranger #132 - Champaign, IL",40.17769,-88.240499,"ROAD RANGER 132|4910 Market St., Champaign, IL 61821|Champaign","ROAD RANGER 132|4910 Market St., Champaign, IL 61821|Champaign","4910 Market St., Champaign, IL 61821",Champaign,IL,,40.17769,-88.240499,0.0,,,,,ROAD RANGER,,False,False,,,Yes,2026-02-13T11:13:53.617811
"Road Ranger #136 - Cottage Grove, WI",42.9985528,-89.1996224,"ROAD RANGER 136|2762 County Hwy. N., Cottage Grove, WI 53527|Cottage Grove","ROAD RANGER 136|2762 County Hwy. N., Cottage Grove, WI 53527|Cottage Grove","2762 County Hwy. N., Cottage Grove, WI 53527",Cottage Grove,WI,,42.9985528,-89.1996224,0.0,,,,,ROAD RANGER,,False,False,,,Yes,2026-02-13T11:13:53.617846
"Road Ranger #139 - Tuscola, IL",39.7919732,-88.2683213,"ROAD RANGER 139|1112 East Southline Road, Tuscola, IL 61953|Tuscola","ROAD RANGER 139|1112 East Southline Road, Tuscola, IL 61953|Tuscola","1112 East Southline Road, Tuscola, IL 61953",Tuscola,IL,,39.7919732,-88.2683213,0.0,,,,,ROAD RANGER,,False,False,,,Yes,2026-02-13T11:13:53.617865
"Road Ranger #140 - Mendota, IL",41.5538796,-89.066747,"ROAD RANGER 140|2705 East 12th St., Mendota, IL 61342|Mendota","ROAD RANGER 140|2705 East 12th St., Mendota, IL 61342|Mendota","2705 East 12th St., Mendota, IL 61342",Mendota,IL,,41.5538796,-89.066747,0.0,,,,,ROAD RANGER,,False,False,,,Yes,2026-02-13T11:13:53.617886
"Road Ranger #141 - Brazil, IN",39.523652,-87.1250154,"ROAD RANGER 141|990 W. SR 42, Brazil, IN 47834|Brazil","ROAD RANGER 141|990 W. SR 42, Brazil, IN 47834|Brazil","990 W. SR 42, Brazil, IN 47834",Brazil,IN,,39.523652,-87.1250154,0.0,2.990,3.490,3.990,3.590,ROAD RANGER,,False,False,,,Yes,2026-02-13T11:13:53.617924
"Road Ranger #144 - Elk Run Heights, IA",42.4612404,-92.2473477,"ROAD RANGER 144|100 Plaza Drive, Elk Run Heights, IA 50707|Elk Run Heights","ROAD RANGER 144|100 Plaza Drive, Elk Run Heights, IA 50707|Elk Run Heights","100 Plaza Drive, Elk Run Heights, IA 50707",Elk Run Heights,IA,,42.4612404,-92.2473477,0.0,,,,,ROAD RANGER,,False,False,,,Yes,2026-02-13T11:13:53.617955
"Road Ranger #145 - Fenton, MO",38.543606,-90.4399195,"ROAD RANGER 145|205 North Highway Drive, Fenton, MO 63026|Fenton","ROAD RANGER 145|205 North Highway Drive, Fenton, MO 63026|Fenton","205 North Highway Drive, Fenton, MO 63026",Fenton,MO,,38.543606,-90.4399195,0.0,,,,,ROAD RANGER,,False,False,,,Yes,2026-02-13T11:13:53.617975
"Road Ranger #153 - Rochelle, IL",41.934296897400245,-89.0678872802297,"ROAD RANGER 153|1101 N 7th St., Rochelle, IL 61068|Rochelle","ROAD RANGER 153|1101 N 7th St., Rochelle, IL 61068|Rochelle","1101 N 7th St., Rochelle, IL 61068",Rochelle,IL,,41.934296897400245,-89.0678872802297,0.0,,,,,ROAD RANGER,,False,False,,,Yes,2026-02-13T11:13:53.617998
"Road Ranger #157 - Okawville, IL",38.4364187,-89.5347246,"ROAD RANGER 157|905 Hen House Road, Okawville, IL 62271|Okawville","ROAD RANGER 157|905 Hen House Road, Okawville, IL 62271|Okawville","905 Hen House Road, Okawville, IL 62271",Okawville,IL,,38.4364187,-89.5347246,0.0,,,,,ROAD RANGER,,False,False,,,Yes,2026-02-13T11:13:53.618017
"Road Ranger #181 - Springfield, IL",39.7128674,-89.648992,"ROAD RANGER 181|500 Toronto Road, Springfield, IL 62711|Springfield","ROAD RANGER 181|500 Toronto Road, Springfield, IL 62711|Springfield","500 Toronto Road, Springfield, IL 62711",Springfield,IL,,39.7128674,-89.648992,0.0,,,,,ROAD RANGER,,False,False,,,Yes,2026-02-13T11:13:53.618034
"Road Ranger #185 - McLean, IL",40.3179987,-89.1690822,"ROAD RANGER 185|315 Dixie Rd. Suite A, McLean, IL 61754|McLean","ROAD RANGER 185|315 Dixie Rd. Suite A, McLean, IL 61754|McLean","315 Dixie Rd. Suite A, McLean, IL 61754",McLean,IL,,40.3179987,-89.1690822,0.0,,,,,ROAD RANGER,,False,False,,,Yes,2026-02-13T11:13:53.618053
"Road Ranger #186 - Minonk, IL",40.9134707,-89.0534671,"ROAD RANGER 186|1311 Carolyn Dr., Minonk, IL 61760|Minonk","ROAD RANGER 186|1311 Carolyn Dr., Minonk, IL 61760|Minonk","1311 Carolyn Dr., Minonk, IL 61760",Minonk,IL,,40.9134707,-89.0534671,0.0,,,,,ROAD RANGER,,False,False,,,Yes,2026-02-13T11:13:53.618073
